Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start,found_match
Denzel Washington,1954-12-28,M,1.84,African Americans,26.0,10.0,Male,Specialised Drama School ,Yes,Basketball,Mount Vernon New York US,1954-12-28,,4.0,1975.0,False
Matt Damon,1970-10-08,M,1.78,Scandinavian Americans,18.0,9.912689621699542,Male,Harvard University,Yes,,Cambridge Massachusetts US,1970-10-08,,4.0,1987.0,True
Tom Hanks,1956-07-09,M,1.83,Portuguese Americans,27.0,9.741555207585074,Male,sub 1500 school,Yes,,Concord California US,1956-07-09,"United States, Greece1",4.0,1977.0,False
Eddie Murphy,1961-04-03,M,1.75,African Americans,21.0,9.41505953469129,Male,Did not go,,,New York City US,1961-04-03,,10.0,1976.0,False
Tom Cruise,1962-07-03,M,1.7,White people,18.0,9.362254987844016,Male,Did not go,,Football,Syracuse New York US,1962-07-03,,3.0,1980.0,False
Frank Welker,1946-03-12,M,1.73,,38.0,8.787845737068936,Male,sub 1500 school,,,Denver Colorado US,1946-03-12,,,1967.0,False
Harrison Ford,1942-07-13,M,1.85,German Americans,38.0,8.450475352584569,Male,Did not go,,,Chicago Illinois US,1942-07-13,,5.0,1964.0,False
James Woods,1947-04-18,M,1.803,,35.0,8.18080350238278,,Did not go,Yes,,Vernal Utah US,1947-04-18,,,1969.0,False
Michelle Pfeiffer,1958-04-29,F,1.71,Swedish Americans,21.0,8.174009491216033,Female,Did not go,,,Santa Ana California US,1958-04-29,,2.0,1978.0,False
Trey Parker,1969-10-19,M,1.85,,27.0,8.156354398652528,Male,University of Colorado Boulder,Yes,,Conifer Colorado US,1969-10-19,,1.0,1992.0,True
Samuel L. Jackson,1948-12-21,M,1.89,African Americans,39.0,8.129854834929136,Male,sub 1500 school,Yes,,Washington DC US,1948-12-21,United States Gabon,1.0,1972.0,False
Richard Jenkins,1947-05-04,M,1.85,,38.0,8.063021132270652,Male,Wesleyan University,Yes,,DeKalb Illinois US,1947-05-04,,2.0,1974.0,True
Danny Devito,1944-11-17,M,1.52,Italian Americans,39.0,8.004749212452891,Male,Specialised Drama School,Yes,,Neptune New Jersey US,1944-11-17,,3.0,1969.0,False
Kirsten Dunst,1982-04-30,F,1.7,German Americans,6.0,7.966811928162483,Female,Did not go,,,Point Pleasant New Jersey US,1982-04-30,,2.0,1987.0,False
Chris Rock,1965-02-07,M,1.8,African Americans,22.0,7.965745981405437,Male,Did not go,,,Andrews South Carolina,1965-02-07,,2.0,1984.0,False
Robert De Niro,1943-08-17,M,1.77,Italian Americans,37.0,7.958091449922545,Male,Did not go,,,New York City US,1943-08-17,United StatesItaly,7.0,1963.0,False
George Clooney,1961-05-06,M,1.8,Irish Americans,34.0,7.915679627959426,Male,University of Kentucky,,Basketball,Lexington Kentucky US,1961-05-06,,2.0,1978.0,True
Jim Carrey,1962-01-17,M,1.867,Canadian Americans,23.0,7.826026918201848,Male,Did not go,,,Newmarket Ontario Canada,1962-01-17,"Canada, United States1",1.0,1977.0,False
Kevin Costner,1955-01-18,M,1.85,English Americans,30.0,7.776850571541823,Male,sub 1500 school,,Football,Lynwood California US,1955-01-18,,7.0,1978.0,False
Stanley Tucci,1960-11-11,M,1.721,Italian Americans,29.0,7.767929182680088,Male,sub 1500 school,,Soccer,Peekskill New York US,1960-11-11,,5.0,1982.0,False
Clint Eastwood,1930-05-31,M,1.88,English Americans,50.0,7.738972892964576,Male,Did not go,,,San Francisco California US,1930-05-31,,8.0,1963.0,False
Jonah Hill,1983-12-20,M,1.7,Jewish people,21.0,7.732379743106324,Male,University of Colorado Boulder,,,Los Angeles California US,1983-12-20,,1.0,2004.0,True
Nicole Kidman,1967-06-20,F,1.791,Irish people,23.0,7.718322848816365,Male,Did not go,Yes,Ballet,Honolulu Hawaii US,1967-06-20,Australia from parentsUS by birthplace,4.0,1983.0,False
Arnold Schwarzenegger,1947-07-30,M,1.88,Austrians,34.0,7.692561572158175,Male,"University of California, Los Angeles (UCLA)",Yes,Soccer, Austria,1947-07-30,AustriaUnited States,5.0,,True
Mark Wahlberg,1971-06-05,M,1.7,Swedish Americans,22.0,7.671579862755038,Male,Did not go,,,Boston Massachusetts US,1971-06-05,,4.0,1984.0,False
